,count,mean,std,min,25%,50%,75%,max,missing_count,dtype
open,300.0,70.81156568752655,13.330049459958678,46.08372937098557,60.50585278770841,71.39360803610522,80.57963139980404,100.82780748720297,0,float64
high,300.0,71.37069126521622,13.326666884731093,47.28208423584301,61.078249007586585,72.00216644051471,80.98695579668556,101.30200902147213,0,float64
low,300.0,70.31278731894199,13.284360273314194,45.754892458987946,59.967302902320355,70.97332979210248,79.96962634557627,99.55611712173497,0,float64
close,300.0,70.8793634578414,13.296755114264588,46.9160302243825,60.615725614774874,71.65642310482922,80.50958013011045,100.54996353629893,0,float64
volume,300.0,2942751.1533333333,1112192.2649109652,1002374.0,2053701.75,2921177.5,3854782.0,4997723.0,0,int64
daily_return,299.0,-0.14846361176588296,1.3880213053096147,-4.827157623244808,-0.9898570586330351,-0.06877197792375966,0.7997098628180197,3.417134939729067,1,float64
pct_return,299.0,-0.0017388129077658776,0.020974847893347887,-0.09041786711255695,-0.014662400524446506,-0.0008586754326836976,0.011247814863403316,0.055124241335850144,1,float64
log_return,299.0,-0.0019612198456626815,0.021077247078042174,-0.09476997956256486,-0.014770956570481563,-0.0008590443056095745,0.011185026719140817,0.05365852429374309,1,float64
price_diff,300.0,0.06779777031482638,0.4607747377429599,-1.2684647850659445,-0.2198492039359099,0.06963796477413098,0.3904560207818868,1.4097847088991529,0,float64
open_close_diff,300.0,0.06779777031482638,0.4607747377429599,-1.2684647850659445,-0.2198492039359099,0.06963796477413098,0.3904560207818868,1.4097847088991529,0,float64
high_low_diff,300.0,1.0579039462742474,0.4402380426088433,0.09560439591338366,0.731052450451168,1.0156571540432253,1.367589102060757,2.3903801563179528,0,float64
typical_price,300.0,70.85428068066653,13.3007273827288,46.651002306404486,60.533085058940884,71.55110584346298,80.50398860794078,100.46936322650201,0,float64
median_price,300.0,70.8417392920791,13.30370950826717,46.51848834741548,60.53376847027653,71.49560956970322,80.56786651127535,100.42906307160355,0,float64
weighted_close,300.0,70.86055137496024,13.299485250353912,46.71725928589899,60.52366147850646,71.57743515880455,80.49211859590798,100.48951330395124,0,float64
sma_5,296.0,70.7844525677806,13.047615534275643,48.37476783857593,60.71669329087069,71.32840674723823,80.44800196687707,99.59285946641451,4,float64
sma_10,291.0,70.6798090422571,12.749263742799084,48.714008362475795,60.8757124508921,71.696827128086,80.66076957680684,98.66157605716057,9,float64
sma_20,281.0,70.51643448865526,12.014069570741182,49.5940736101148,61.6892790031345,71.36886198728111,81.14292178192554,97.74322441336321,19,float64
sma_50,251.0,70.60614782961686,10.178270785470266,50.9560299884301,64.91335358240472,69.07972870136219,80.84626704397962,87.61658505104118,49,float64
sma_100,201.0,71.02211600928757,7.976826505683213,57.68495131004359,64.50532897154619,70.07606665169916,78.82371372513542,84.8770724117814,99,float64
sma_200,101.0,71.01743259662625,3.956720669400799,63.88050898087138,67.64214889291239,71.6645213483408,74.22191259766726,77.47656953174028,199,float64
ema_5,296.0,70.78649868523819,13.010216092024786,48.84636001072911,60.65732235658412,71.67993186562896,80.5132649561786,99.2723364319873,4,float64
ema_10,291.0,70.6984804772816,12.653170711391951,49.77288254895795,61.152857151694135,71.53533968774133,80.59845406161386,98.60601918407681,9,float64
ema_20,281.0,70.54519535552717,11.803586997282494,50.41924414719568,62.28141745346298,70.75046882016326,81.16792062167262,97.24932462346094,19,float64
ema_50,251.0,70.74194992308409,10.318273924762215,52.63885671641146,64.42758245975418,68.97261100762444,81.56133662790575,85.51822408596765,49,float64
ema_100,201.0,71.07242172612432,8.570082340214306,56.57380740455695,65.28663199389769,70.19340261150647,78.53347332405815,85.34373143172864,99,float64
