performance_rank,model_name,display_name,task_type,target_column,was_tuned,training_time_seconds,prediction_time_seconds,model_complexity,memory_kb,train_mae,train_mse,train_rmse,train_mape_pct,train_r2,train_adjusted_r2,train_n_samples,train_n_features,validation_mae,validation_mse,validation_rmse,validation_mape_pct,validation_r2,validation_adjusted_r2,validation_n_samples,validation_n_features,test_mae,test_mse,test_rmse,test_mape_pct,test_r2,test_adjusted_r2,test_n_samples,test_n_features,primary_metric,primary_metric_value,efficiency_score,efficiency_rank
1,ridge_regression,Ridge Regression,regression,future_return_5_day,False,0.0142,0.002293,231,13.37,0.013487,0.000294,0.017139,312.6245,0.460661,0.354183,1396,230,0.023865,0.000856,0.029253,325.2697,-0.339551,-4.870386,299,230,0.026325,0.001047,0.032351,377.8464,0.034093,-3.185599,300,230,rmse,0.032351,0.9998,1
2,lasso_regression,Lasso Regression,regression,future_return_5_day,False,0.0338,0.00231,231,13.45,0.015079,0.000373,0.019319,243.3043,0.314745,0.179459,1396,230,0.018124,0.00051,0.022585,162.6825,0.201565,-2.499023,299,230,0.026145,0.001057,0.032506,258.4246,0.024801,-3.225863,300,230,rmse,0.032506,0.9972,2
3,elastic_net,ElasticNet,regression,future_return_5_day,False,0.0949,0.00232,231,13.45,0.014581,0.000348,0.01866,250.318,0.360722,0.234512,1396,230,0.018205,0.000513,0.022639,173.5473,0.197718,-2.515881,299,230,0.026558,0.001087,0.032963,315.4188,-0.002765,-3.345317,300,230,rmse,0.032963,0.9897,3
4,extra_trees,Extra Trees,regression,future_return_5_day,False,5.0502,0.019252,307200,3632.24,0.009215,0.000143,0.011944,195.9956,0.738058,0.686345,1396,230,0.018407,0.000549,0.023431,215.3013,0.140641,-2.766013,299,230,0.030389,0.001414,0.037605,316.3214,-0.305122,-4.655529,300,230,rmse,0.037605,0.3778,11
5,random_forest,Random Forest,regression,future_return_5_day,False,30.3016,0.018731,307200,2746.7,0.008939,0.000145,0.012043,181.2289,0.733715,0.681144,1396,230,0.019644,0.000614,0.024782,236.7741,0.038665,-3.212911,299,230,0.030337,0.001429,0.037805,291.2357,-0.319021,-4.715757,300,230,rmse,0.037805,0.2275,12
6,linear_regression,Linear Regression,regression,future_return_5_day,False,0.0319,0.00239,231,15.15,0.013225,0.000282,0.016805,280.4595,0.481519,0.379158,1396,230,0.026742,0.001057,0.032504,388.369,-0.653778,-6.247438,299,230,0.031493,0.001503,0.038765,518.968,-0.38688,-5.009813,300,230,rmse,0.038765,0.9011,4
7,xgboost,XGBoost,regression,future_return_5_day,False,6.7731,0.04048,12800,883.72,0.004709,3.8e-05,0.006194,150.947,0.92957,0.915665,1396,230,0.019589,0.000598,0.024461,249.2079,0.063419,-3.104427,299,230,0.032392,0.001575,0.039689,347.4266,-0.453785,-5.299733,300,230,rmse,0.039689,0.7611,7
8,decision_tree,Decision Tree Regressor,regression,future_return_5_day,False,0.1323,0.002095,79,11.89,0.012446,0.000266,0.016322,204.9652,0.510881,0.414317,1396,230,0.02219,0.000788,0.028063,240.0513,-0.232767,-4.40242,299,230,0.031681,0.001606,0.040075,279.209,-0.482178,-5.422771,300,230,rmse,0.040075,0.8805,5
9,catboost,CatBoost,regression,future_return_5_day,False,14.9677,0.009403,25600,461.81,0.007849,9.7e-05,0.009846,203.6216,0.822009,0.786869,1396,230,0.01898,0.000569,0.023857,244.8013,0.109066,-2.904387,299,230,0.033654,0.001692,0.041133,428.9956,-0.561496,-5.766484,300,230,rmse,0.041133,0.69,8
10,adaboost,AdaBoost,regression,future_return_5_day,False,5.4241,0.028634,38400,210.39,0.013201,0.000256,0.016013,307.6777,0.529199,0.436251,1396,230,0.019015,0.000566,0.02379,222.8902,0.11409,-2.882372,299,230,0.033638,0.001727,0.041562,490.1153,-0.594236,-5.908354,300,230,rmse,0.041562,0.7692,6
11,lightgbm,LightGBM,regression,future_return_5_day,False,4.2644,0.006817,102400,1198.04,0.001702,5e-06,0.002337,55.7717,0.989976,0.987998,1396,230,0.025176,0.000975,0.031219,399.6996,-0.525608,-5.685751,299,230,0.038307,0.002176,0.046643,500.2985,-1.007801,-7.700473,300,230,rmse,0.046643,0.5805,10
12,gradient_boosting,Gradient Boosting,regression,future_return_5_day,False,12.2565,0.003345,1600,364.75,0.008681,0.000117,0.010837,212.9288,0.784356,0.741783,1396,230,0.020512,0.000682,0.026119,274.9314,-0.067845,-3.679676,299,230,0.040361,0.002367,0.048649,671.7183,-1.184244,-8.465057,300,230,rmse,0.048649,0.6233,9
